Id;Source;Target;Type;weight;timeset
41.0;062f7afc5063e965dbb035cbbfe4b1cf;140e58dff12f05f2fe5c073e74d0cdda;undirected;107.0;<[2,2]>
42.0;063a421d185f6d86048664dc0699dc90;bb05d99331004be1e1033e98d6492ca2;undirected;109.0;<[2,2]>
43.0;062f7afc5063e965dbb035cbbfe4b1cf;2b290ae2e6a8d689f8ade090a53873f6;undirected;107.0;<[2,2]>
44.0;04c06cb84be4d9f833f28af04050d822;b9e926589d90bae1e5bcd04288bf91e7;undirected;115.0;<[2,2]>
45.0;063a421d185f6d86048664dc0699dc90;71ff6d06276c96230c778bf976ad569c;undirected;105.0;<[2,2]>
46.0;062f7afc5063e965dbb035cbbfe4b1cf;9d627606c98759bfda84bf3a517d20d0;undirected;107.0;<[2,2]>
47.0;04c06cb84be4d9f833f28af04050d822;af89a412323061fa0c21f386106e5aa4;undirected;115.0;<[2,2]>
48.0;063a421d185f6d86048664dc0699dc90;875927574993358e2a4bb4366ad6321c;undirected;105.0;<[2,2]>
49.0;03a56083d1d2e71e88695d136430a818;5eb6e024cefd226a89e91e358d697ec6;undirected;119.0;<[2,2]>
50.0;062f7afc5063e965dbb035cbbfe4b1cf;ac62244b90b592f088e442a2381f7751;undirected;107.0;<[2,2]>
51.0;03a56083d1d2e71e88695d136430a818;c567f68b6b6098a68b378b8afdc88fb6;undirected;119.0;<[2,2]>
52.0;03a56083d1d2e71e88695d136430a818;052ba58c27715d4c94b9754d47f14a30;undirected;119.0;<[2,2]>
53.0;03a56083d1d2e71e88695d136430a818;37051c874ea5c5feb4e0996fd71fc98f;undirected;119.0;<[2,2]>
54.0;063a421d185f6d86048664dc0699dc90;c28d1fb8f13ca25135da16c6c4c78aca;undirected;105.0;<[2,2]>
55.0;063a421d185f6d86048664dc0699dc90;9095a9d8d1ab96e7fe41fbce764c351e;undirected;105.0;<[2,2]>
56.0;04c06cb84be4d9f833f28af04050d822;bc0528eb7920c56514c3d219fdb91dfd;undirected;115.0;<[2,2]>
57.0;062f7afc5063e965dbb035cbbfe4b1cf;3f5f2f37454e73d865b46d21f6966c21;undirected;107.0;<[2,2]>
58.0;063a421d185f6d86048664dc0699dc90;7d18338d0105a74e44347e1076f43e9a;undirected;105.0;<[2,2]>
